npaid	compound_name	formula	origin_type	origin_genus	origin_species	original_reference_doi
NPA007980	Longirostrerone B	C31H42O6	Fungus	Chaetomium	longirostre	10.1021/np2004903
NPA007981	Alternariol 5-O-sulfate	C14H10O8S	Fungus	Alternaria	sp.	10.1021/np070447m
NPA007982	Nocardichelin B	C38H61N5O8	Bacterium	Nocardia	sp. strain Acta 3026	10.1021/np060612i
NPA007983	Pelagiomicin A	C20H21N3O6	Bacterium	Pelagiobacter	variabilis	10.7164/antibiotics.50.8
NPA007984	Cucurbitacin B linoleyl ester	C50H76O9	Fungus	Leucopaxillus	gentianeus	10.1021/np049883o
NPA007985	Threo-L-2-[(2,4-dihydroxy-6-methylbenzoyl)oxy]-3-hydroxybutanoic acid	C12H14O7	Fungus	Chaetomium	globosporum cib-132	10.1002/hlca.201300329
NPA007986	Vaccinol G	C17H22O4	Fungus	Pestalotiopsis	vaccinii	10.1016/j.tet.2014.10.056
NPA007987	7-hydroxy-5-methoxy-4,6-dimethyl-7-O-α-L-rhamnosylphthalide	C17H22O8	Fungus	Pestalotiopsis	heterocornis	10.1080/10286020.2011.621422
NPA007988	Porphyromonas gingivalis lipid A	C78H149N2O19P	Bacterium	Porphyromonas	gingivalis	10.1128/jb.177.8.2098-2106.1995
NPA007989	4-hydroxy-3-methoxy-11-methyldecahydro-1H-benzoxecine-1,12-dione	C15H24O5	Fungus	Phomopsis	sp. CMU-LMA	10.1016/j.phytochem.2013.02.012
NPA007990	2-(4-Hydroxy-3,5-dinitrophenyl)-ethanol	C8H8N2O6	Bacterium	Salegentibacter	sp. T436	10.1038/ja.2007.38
NPA007991	Diplobifuranylone B	C10H14O4	Fungus	Diplodia	corticola	10.1021/np050393l
NPA007992	Talapolyester A	C22H30O12	Fungus	Talaromyces	flavus BYD07-13	10.1016/j.tet.2014.02.060
NPA007993	Luisol B	C13H14O6	Bacterium	Streptomyces	sp.	10.1021/np980415m
NPA007994	(4-Hydroxy-3,5-dinitrophenyl)acetic acid	C8H6N2O7	Bacterium	Salegentibacter	sp. T436	10.1038/ja.2007.38
NPA007995	Pestalofone D	C33H36O10	Fungus	Pestalotiopsis	fici	10.1016/j.bmc.2008.11.066
NPA007997	4Z-Infectopyrone	C14H16O5	Fungus	Alternaria	infectoria	10.1021/jf0513213
NPA007998	Cochliodone H	C34H38O12	Fungus	Chaetomium	sp. M336	10.1016/j.phytol.2016.05.003
NPA007999	6-hydroxypunctaporonin D	C15H24O4	Fungus	Pestalotiopsis	sp.	10.1016/j.phytol.2016.05.001
NPA008000	Feigrisolide C	C22H38O6	Bacterium	Streptomyces	griseus	10.7164/antibiotics.53.934
NPA008001	Exfoliamycin	C22H26O9	Bacterium	Streptomyces	exfoliatus	10.7164/antibiotics.46.346
NPA008002	Bacitracin I1	C64H94N16O17S	Bacterium	Bacillus	sp. SNA-60-367	10.7164/antibiotics.48.233
NPA008003	6-0-acetyl2-0-octadecanoy 1-alpha ,alpha-D-trehalose	C32H58O13	Fungus	Hyphozyma	lignicola	10.1021/np50102a004
NPA008004	Calcaride B	C33H40O15	Fungus	Calcarisporium	sp. KF525	10.3390/md11093309
NPA008005	6,10-Dimethylbicyclo[4.4.0]decan-3-ol	C12H22O	Bacterium	Chondromyces	crocatus	10.1016/j.tet.2004.03.005
NPA008006	7β,15α,22-trihydroxyhopane	C30H52O3	Fungus	Hypocrella	sp. BCC 14524	10.1021/np200429b
NPA008007	{(Z)-3-(chloromethylene)-2,3-dihydrobenzo[b]oxepin-7-yl}methanol	C12H11ClO2	Fungus	Mycena	galopus	10.1016/s0040-4039(99)01074-6
NPA008008	Terpendole C	C32H41NO5	Fungus	Albophoma	yamanashiensis	10.7164/antibiotics.48.1
NPA008009	Thiazomycin D	C59H55N13O19S5	Bacterium	Amycolatopsis	fastidiosa	10.1021/np800783b
NPA008010	Vibralactone B	C12H16O4	Fungus	Boreostereum	vibrans	10.1248/cpb.56.1286
NPA008011	8-chloro-3'4', 5, 7-tetrahydroxyisoflavone	C15H9ClO5	Bacterium	Streptomyces	sp.	10.7164/antibiotics.42.1344
NPA008012	Eutypellin B	C11H14O5	Fungus	Eutypella	sp. BCC 13199	10.1021/np900316x
NPA008013	Norcyclocitrinol A	C23H34O4	Fungus	Penicillium	chrysogenum P1X	10.1002/hlca.201300153
NPA008014	N,N'-((1Z,3Z)-1,4-bis(4-methoxyphenyl)buta-1,3-diene-2,3-diyl)diformamide	C20H20N2O4	Fungus	Aspergillus	fumigatus	10.1021/np200255f
NPA008015	Conocenolide B	C15H22O3	Fungus	Conocybe	siliginea	10.1021/np070140n
NPA008016	Phlebic acid D	C32H52O5	Fungus	Peltigera	aphthosa	10.1016/0031-9422(90)85124-x
NPA008017	3-(L-alanyl-L-homoserinyl-L-aspartyl-βcarboxy)-4-hydroxy-5-oxopyrazole	C14H21N5O9	Bacterium	Burkholderia	glumae	10.1016/j.phytochem.2008.08.013
NPA008018	Diasteltoxin B	C46H60O14	Fungus	Emericella	variecolor XSA-07-2	10.1021/acs.orglett.6b02313
NPA008019	9α-hydroxy-13-acetyltricho-2(12),10(11)-diene-3-one	C17H24O4	Fungus	Fusarium	sp.	10.1016/s0040-4039(00)79127-1
NPA008020	Podoscyphic acid	C16H26O4	Fungus	Podoscypha	sp.	10.1515/znc-1991-5-617
NPA008021	Eurystatin A	C23H38N4O5	Bacterium	Streptomyces	eurythermus	10.7164/antibiotics.47.982
NPA008022	(3R,5R)-3-O-β-D-mannosyl-3,5-dihydrodecanoic acid	C16H30O9	Fungus	Simplicillium	lamellicola BCP	10.1021/jf500361e
NPA008023	KRIBB-BP005m	C20H30O2	Fungus	Trichothecium	roseum	10.1016/0040-4039(95)01297-u
NPA008024	Chaetoglobosin Q	C32H38N2O6	Fungus	Chaetomium	globosum	10.1021/np030460g
NPA008025	Melithiazol A	C20H26N2O4S2	Bacterium	Melittangium	lichenicola l26	10.7164/antibiotics.52.721
NPA008026	Umbilicaxanthoside A	C25H28O11	Fungus	Umbilicaria	proboscidea	10.1016/s0031-9422(02)00539-3
NPA008027	3β,15α,22-trihydroxyhopane	C30H52O3	Fungus	Aschersonia	aleyrodis	10.1016/s0040-4039(00)84577-3
NPA008028	Aigialomycin D	C18H22O6	Fungus	Aigialus	parvus BCC 5311	10.1021/jo010930g
NPA008029	A83543C	C39H61NO10	Bacterium	Saccharopolyspora	sp.	10.1016/s0040-4039(00)93474-9
NPA008030	1,4-dimethoxy-3-(3′-hydroxy-3′-methyl-1′-tetralon e)-1(3H)-isobenzofuran	C21H22O5	Bacterium	Streptomyces	sp. W007	10.1016/j.cclet.2012.06.001
NPA008031	Sumalarin C	C19H24O8S	Fungus	Penicillium	sumatrense MA-92	10.1021/np400614f
NPA008032	Linearolide B	C42H71NO12	Bacterium	Streptomyces	sp. RK95-74	10.1038/ja.2013.19
NPA008033	Speciosin B	C10H8O4	Fungus	Hexagonia	speciosa	10.1021/np900182m
NPA008034	6-O-methyl-7-O-α-rhamnopyranosyldaidzein	C22H22O9	Bacterium	Streptomyces	sp. H7667	10.1021/np900163f
NPA008035	Indimicin E	C23H21Cl2N3	Bacterium	Streptomyces	sp. SCSIO 03032	10.1021/np500362p
NPA008036	Sporogen-AO 1	C15H20O3	Fungus	Aspergillus	oryzae (NOY-2)	10.1016/s0040-4039(01)81717-2
NPA008037	Not named	C19H22O5	Fungus	Penicillium	303#	10.1016/j.fitote.2014.06.011
NPA008038	1-Methoxy-3-methylbenzene	C8H10O	Fungus	Aspergillus	candidus	10.1016/s0045-6535(99)00015-6
NPA008039	Phomentrioloxin C	C17H22O4	Fungus	Diaporthe	gulyae	10.1021/np500570h
NPA008040	Lachnone C	C15H16O6	Fungus	Lachnum	sp. BCC 2424	10.1021/np060164e
NPA008041	Inoterpene D	C30H50O3	Fungus	Inonotus	obliquus	10.1016/j.tet.2009.01.076
NPA008042	17-epoxymyxothiazole A	C25H33N3O4S2	Bacterium	Myxococcus	fulvus	10.1248/cpb.55.477
NPA008043	Maltepolide D	C30H44O8	Bacterium	Sorangium	cellulosum So ce1485	10.1002/anie.201210113
NPA008044	Penicitrinol E	C16H22O4	Fungus	Penicillium	citrinum	10.1248/cpb.59.515
NPA008045	Uredinorubellin I	C30H22O10	Fungus	Ramularia	collo-cygni	10.1021/np800138y
NPA008046	3,5-Dichloro-anisyl alcohol	C8H8Cl2O2	Fungus	Bjerkandera	adusta	10.5281/zenodo.3541190
NPA008047	Aeruginazole DA1274	C60H70N14O12S3	Bacterium	Microcystis	aeruginosa IL-374	10.1016/j.tet.2011.12.045
NPA008048	Campyridone A	C27H29NO4	Fungus	Campylocarpon	sp. HDN13-307	10.1016/j.tet.2016.07.080
NPA008049	Tricladolide C	C13H18O4	Fungus	Tricladium	castaneicola	10.1021/np500773s
NPA008050	Sterenin L	C27H31NO8	Fungus	Stereum	hirsutum	10.1055/s-0034-1382828
NPA008051	Phomacin B	C25H37NO5	Fungus	Phoma	sp.	10.1021/jo962321s
NPA008052	Applanoxidic acid E	C30H40O7	Fungus	Ganoderma	applanatum	10.1016/s0031-9422(00)94843-x
NPA008053	Tricycloalternarene 5a	C22H32O3	Fungus	Alternaria	alternata	10.1016/s0031-9422(97)00278-1
NPA008054	Dehydromonacolin K	C24H34O4	Fungus	Monascus	purpureus	10.1021/jf000338c
NPA008055	Antagonistic factor	C56H97N15O14	Bacterium	Paenibacillus	sp.	10.1128/aem.71.11.6501-6507.2005
NPA008056	Enniatin Q	C36H57N3O9	Fungus	Fusarium	tricinctum Corda	10.1038/ja.2014.129
NPA008057	TPU-0037-A	C46H72N4O10	Bacterium	Streptomyces	platensis TP-A0598	10.7164/antibiotics.55.873
NPA008058	8'-O-demythylisonigerone	C31H24O10	Fungus	Aspergillus	carbonarius WZ-4-11	10.1002/cbdv.200890017
NPA008059	Blennin D	C15H22O4	Fungus	Lactarius	blennius	10.1016/0031-9422(80)85021-7
NPA008060	3-(1′-Hydroxypentyl)phenol	C11H16O2	Fungus	Bombardioidea	anartia	10.1021/np000617u
NPA008061	Aperterone B	C22H22O6	Fungus	Aspergillus	terreus MHL-P22	10.1248/cpb.c12-00643
NPA008062	Gombapyrone E	C27H30O3	Bacterium	Streptomyces	sp. KMC-002	10.3390/molecules16053519
NPA008063	Dihydroaspirone	C9H14O4	Fungus	Unknown-fungus	sp.	10.1002/jlac.199719970114
NPA008064	WS79089A	C27H20O9	Bacterium	Streptosporangium	roseum. NO. 79089	10.7164/antibiotics.47.619
NPA008065	Versicamide F	C27H31N3O6	Fungus	Aspergillus	versicolor HDN08-60	10.1021/jo5010179
NPA008066	Milbemycin α31	C32H42O6	Bacterium	Streptomyces	bingchenggensis	10.1080/10286020902819897
NPA008067	Phencomycin	C15H10N2O4	Bacterium	Streptomyces	sp.	10.7164/antibiotics.48.1353
NPA008068	Cyanostatin A	C38H57N5O9	Bacterium	Microcystis	sp.	10.1016/j.phytochem.2005.01.001
NPA008069	Benzoic acid	C7H6O2	Bacterium	Streptomyces	lavendulae	10.7164/antibiotics.33.1231
NPA008070	2-(2-hydroxypropanamido) benzoic acid	C10H11NO4	Fungus	Penicillium	chrysogenum	10.1007/s10600-014-0971-3
NPA008071	Tricladic acid C	C13H20O5	Fungus	Tricladium	castaneicola	10.1021/np500773s
NPA008072	Taxlllaid D	C43H69N7O9	Bacterium	Xenorhabdus	indica	10.1002/chem.201403979
NPA008073	Ganoderic acid B	C30H44O7	Fungus	Ganoderma	sinense	10.1248/cpb.46.1607
NPA008074	Milbemycin β12	C31H46O6	Bacterium	Streptomyces	hygroscopicus subsp. aureolacrimosus SANK 62896	10.7164/antibiotics.53.694
NPA008075	5'-Deoxy-5'-methylthioadenosine	C11H15N5O3S	Fungus	Unknown-fungus	sp.	10.1039/jr9510001348
NPA008076	Cyclopenicillone	C13H20O3	Fungus	Penicillium	decumbens	10.1039/c1cc12079d
NPA008077	Petchiate B	C12H14O5	Fungus	Ganoderma	petchii	10.1016/j.fitote.2015.08.002
NPA008078	Bacithrocin C	C18H27N5O3	Bacterium	Bacillus	laterosporus	10.7164/antibiotics.47.959
NPA008079	Tolyporphin J	C24H22N4O4	Bacterium	Tolypothrix	nodosa	10.1021/np970566+
NPA008080	Agnestadride B	C18H18O5	Fungus	Byssochlamys	fulva IMI 40021	10.1039/c5cc06988b
NPA008081	Viridepyronone	C10H12O3	Fungus	Trichoderma	viride	10.1021/jf034708j
NPA008082	Protohypericin	C30H18O8	Fungus	Dermocybe	austroveneta	10.1021/np50060a035
NPA008083	17-O-demethylgeldanamycin hydroquinone	C28H40N2O9	Bacterium	Streptomyces	sp.	10.1016/j.bmcl.2006.12.041
NPA008084	Apramide G	C44H73N7O6S	Bacterium	Lyngbya	majuscula	10.1021/np000078t
NPA008085	(-)-rotiorin	C23H24O5	Fungus	Chaetomium	cupreum CC3003	10.1021/np060051v
NPA008086	Grassypeptolide G	C59H77N9O9S2	Bacterium	Lyngbya	majuscula	10.1021/np2005083
NPA008087	ß,ß-ergoannam	C33H43N5O4	Fungus	Claviceps	purpurea D-3-18	10.1021/np50036a010
NPA008088	Striatisporin A	C13H18O5	Fungus	Penicillium	striatisporum	10.1021/np049614y
NPA008089	L-671776-C	C23H34O5	Fungus	Unknown-fungus	sp.	10.7164/antibiotics.49.611
NPA008090	Epothilone N	C26H40ClNO7S	Bacterium	Sorangium	cellulosum	10.1038/ja.2010.81
NPA008091	5-hydroxydeoxyvasicinone	C11H10N2O2	Bacterium	Klebsiella	pneumoniae var. o.xytoca	10.1002/jlac.198119810825
NPA008092	Rubellin A	C30H22O9	Fungus	Ramularia	collo-cygni	10.1039/p19860000255
NPA008093	Cytosporone D	C16H22O5	Fungus	Cytospora	sp.	10.1021/ol006680s
NPA008094	Ganoderenic acid F	C30H38O7	Fungus	Ganoderma	lucidum	10.1248/cpb.33.4829
NPA008095	2,3,4-trihydroxy-6-(methoxymethyl)-5-methylbenzaldehyde	C10H12O5	Fungus	Epicoccum	nigrum	10.1021/np4005745
NPA008096	Chaunolidine A	C21H27NO5	Fungus	Chaunopycnis	sp. (CMB-MF028)	10.1039/c5ob01058f
NPA008097	Phoenicoxanthin	C40H52O3	Bacterium	Micrococcus	roseus	10.5281/zenodo.3541244
NPA008098	ES 242-1	C34H36O10	Fungus	Verticillium	sp. SPC-15898	10.7164/antibiotics.45.88
NPA008099	Gymnasterone D	C28H38O2	Fungus	Gymnascella	dankaliensis	10.1021/np070165m
NPA008100	methyl 5-(hydroxymethyl) furan-2-carboxylate	C7H8O4	Fungus	Curvularia	lunata	10.1016/s0021-9673(01)00702-6
NPA008101	Surugamide B	C47H79N9O8	Bacterium	Streptomyces	sp.	10.1021/jo400708u
NPA008102	Versisponic acid A	C30H48O5	Fungus	Laetiporus	versisporus	10.1248/cpb.48.1418
NPA008103	Darlucin A	C19H16N2O3	Fungus	Stilbella	fimetaria	10.7164/antibiotics.48.36
NPA008104	Quartromicin D1	C65H82O20	Bacterium	Amycolatopsis	orientalis Q427-8 ATCC 53884	10.7164/antibiotics.45.180
NPA008105	Waol acid	C13H18O5	Fungus	Acremonium	strictum	10.1016/j.tetlet.2014.04.063
NPA008106	Vibranether	C15H20O3	Fungus	Boreostereum	vibrans	10.1080/10286020.2013.824429
NPA008107	Pterulamide V	C38H64N6O6	Fungus	Pterula	sp.	10.1021/np0600245
NPA008108	3-Dimethoxy-12α-hydroxycholanic acid	C26H44O5	Bacterium	Psychrobacter	sp.	10.1007/s12272-009-1607-1
NPA008109	AB-400	C33H48N2O12	Bacterium	Streptomyces	costae	10.7164/antibiotics.53.623
NPA008110	Cyclipostin P2	C23H41O6P	Bacterium	Streptomyces	sp. DSM 13381	10.7164/antibiotics.55.480
NPA008111	(22S)-moretan-29-ol acetate	C32H54O2	Bacterium	Frankia	sp.	10.1046/j.1432-1327.2001.02348.x
NPA008112	6-epi-5'-hydroxy-mycosporulone	C11H12O5	Fungus	Microsphaeropsis	sp. FO-5050 IV	10.7164/antibiotics.52.501
NPA008113	Dendrodolide G	C12H18O4	Fungus	Dendrodochium	sp.	10.1021/jo400861j
NPA008114	Not named	C31H24O10	Fungus	Aspergillus	niger	10.5281/zenodo.3541246
NPA008115	3-isobutyl-4-[4-(3-methyl-2-butenyloxy)phenyl]-1H-pyrrol-1-ol-2,5-dione	C19H23NO4	Fungus	Antrodia	camphorata	10.1021/np030293k
NPA008116	Not named	C17H20O10	Fungus	Torrubiella	tenuis BCC 12732	10.1021/np900082h
NPA008118	methyl 4,13-dimethyltetradecanoate	C17H34O2	Bacterium	Bacillus	sp.	10.1021/np000494d
NPA008119	MLR-52	C27H23N3O5	Bacterium	Streptomyces	sp. AB 1869R-359	10.7164/antibiotics.47.281
NPA008120	Lankamycin	C42H72O16	Bacterium	Streptomyces	spinichromogenes	10.1002/hlca.19640470111
NPA008121	(−)-cochlearol A	C15H14O7	Fungus	Ganoderma	cochlear	10.1021/ol502806j
NPA008122	Naseseazine C	C32H32N6O4	Bacterium	Streptomyces	sp.	10.1016/j.tetlet.2016.11.071
NPA008123	Peniamidienone	C19H23NO3	Fungus	Penicillium	sp. No. 13	10.1016/s0031-9422(99)00492-6
NPA008124	2,4,6-trichloro-3-methoxyphenol	C7H5Cl3O2	Fungus	Hypholoma	elongatum WIJS94-28	10.1016/s0031-9422(97)01067-4
NPA008125	19-Bromoaplysiatoxin	C32H46Br2O10	Bacterium	Oscillatoria	nigromridis	10.1021/jo00405a053
NPA008126	Microginin 299-C	C45H68N6O10	Bacterium	Cyanobacterium	sp.	10.1016/s0040-4020(98)00826-6
NPA008127	N-{1-[4-(acetylamino)phenyl]-3-hydroxy-1-(1H-indol-3-yl)propan-2-yl}-2,2-dichloroacetamide	C21H21Cl2N3O3	Bacterium	Escherichia	coli	10.1080/10286020.2011.570262
NPA008128	Phomoxydiene A	C16H18O6	Fungus	Phomopsis	sp. BCC 45011	10.1016/j.tet.2015.10.015
NPA008129	Hyafurone B	C32H42O5	Bacterium	Hyalangium	minutum strain NOCB-2T	10.1021/np500145f
NPA008130	Pitiprolamide	C49H72N6O10	Bacterium	Lyngbya	majuscula	10.1021/np1006839
NPA008131	Aspernolide I	C25H28O9	Fungus	Aspergillus	iizukae	10.1016/j.phytol.2016.03.014
NPA008132	3,5-dihydroxy-7-(14-oxopentadecyl)benzoic acid	C22H34O5	Fungus	Sporotrichum	laxum	10.1016/j.bmcl.2013.08.109
NPA008133	Fomeffic acid	C15H26O4	Fungus	Fomes	officinalis	10.1080/10286020.2015.1054378
NPA008134	Rhodochelin	C23H33N5O12	Bacterium	Rhodococcus	jostii RHA1	10.1021/ja1109453
NPA008135	Penipacid B	C14H20N2O3	Fungus	Penicillium	paneum SD-44	10.3390/md11083068
NPA008136	Myxotrichin D	C14H10O6	Fungus	Myxotrichum	sp.	10.1016/j.phytol.2013.08.011
NPA008137	Cucurbitarin E	C17H16O4	Fungus	Unknown	sp. KC871044.1	10.1002/cbdv.201400279
NPA008138	Pimara-9(11),15-diene	C20H32	Fungus	Phoma	betae	10.1016/s0040-4039(01)00165-4
NPA008139	Inonotusol F	C31H48O3	Fungus	Inonotus	obliquus	10.1021/np400552w
NPA008140	Sf2446a2	C34H35NO15	Bacterium	Streptomyces	sp. RV15	10.1038/ja.2015.54
NPA008141	(14S)-oxoglyantrypine	C20H14N4O3	Fungus	Cladosporium	sp. PJX-41	10.1021/np400200k
NPA008142	Calopin	C13H16O5	Fungus	Boletus	calopus	10.1055/s-2006-951722
NPA008143	Isoilludin S	C15H20O4	Fungus	Lampteromyces	japonicus	10.1016/0040-4020(65)80065-5
NPA008144	(+)-dalmanol A	C20H14O6	Fungus	Daldinia	eschscholzii	10.1021/ja110932p
NPA008145	N-[(1R)-2-hydroxy-1-methoxy-methyl ethyl]-(4E,7S)-7-methoxy-4-eicosenamide	C25H49NO4	Fungus	Unknown-fungus	sp.	10.1021/np990291t
NPA008146	Trichorzin PAu 4	C83H138N20O23	Fungus	Trichoderma	sp.	10.7164/antibiotics.51.178
NPA008147	Cyathuscavin C	C17H14O9	Fungus	Cyathus	sp.	10.1016/j.bmcl.2008.05.110
NPA008148	PI-200	C17H26O2	Bacterium	Streptomyces	sp. A7498	10.7164/antibiotics.45.892
NPA008149	Hydrogrammic acid	C15H16O4	Fungus	Clitocybe	hydrogramma	10.1016/s0031-9422(97)00406-8
NPA008150	(-)-hydroxysydonic acid	C15H22O5	Fungus	Aspergillus	sydowii	10.1080/00021369.1978.10862919
NPA008151	Kempopeptin A	C50H70N8O13	Bacterium	Lyngbya	sp.	10.1021/np8002172
NPA008152	Beauveriolide VIII	C25H45N3O5	Fungus	Beauveria	sp. FO-6979	10.7164/antibiotics.57.1
NPA008153	Epoxyphomalin E	C22H32O5	Fungus	Paraconiothyrium	sp.	10.1021/np100310k
NPA008154	Curvulin	C12H14O5	Fungus	Bipolaris	sp.	10.1080/14786419.2017.1380011
NPA008155	Pitipeptolide E	C43H63N5O9	Bacterium	Lyngbya	majuscula	10.1016/j.phytochem.2011.07.014
NPA008156	Asperaculin A	C15H20O5	Fungus	Aspergillus	aculeatus CRI323-04	10.1021/np200221w
NPA008157	Lydiamycin A	C31H49N7O9	Bacterium	Streptomyces	lydicus (strain HKI0343)	10.1002/anie.200503381
NPA008158	Berkchaetoazaphilone C	C24H36O5	Fungus	Pleurostomophora	sp.	10.1021/acs.jnatprod.5b00519
NPA008159	Sch 725674	C18H32O5	Fungus	Aspergillus	sp.	10.1038/ja.2005.74
NPA008160	Ganodone	C18H16O6	Fungus	Ganoderma	tsugae	10.1021/np200361y
NPA008161	Ajudazol A	C34H42N2O7	Bacterium	Chondromyces	crocatus	"10.1002/1099-0690(200203)2002:5<917::aid-ejoc917>3.0.co;2-z"
NPA008162	Parasiticol	C16H14O6	Fungus	Aspergillus	parasiticus	10.1021/jf60169a025
NPA008163	Calditoglycerocaldarchaeol	C92H174O11	Bacterium	Sulfolobus	sp.	10.1016/j.chemphyslip.2008.02.005
NPA008164	Watasemycin A	C16H20N2O3S2	Bacterium	Streptomyces	sp. TP-A0597	10.7164/antibiotics.55.249
NPA008165	Caryose	C9H16O7	Bacterium	Pseudomonas	caryophylli	10.1016/0008-6215(96)00018-3
NPA008166	5-methyl-2-heptanone	C8H16O	Bacterium	Streptomyces	sp. strain GWS-BW-H5	"10.1002/(sici)1097-0010(199705)74:1<132::aid-jsfa779>3.0.co;2-8"
NPA008167	Adipostatin A	C21H36O2	Bacterium	Streptomyces	cyaneus 2299-SVI	10.7164/antibiotics.45.886
NPA008168	Lunatoic acid A	C21H24O7	Fungus	Cochliobolus	lunata	10.1016/s0040-4039(01)83831-4
NPA008169	Rebeccamycin	C27H21Cl2N3O7	Bacterium	Nocardia	aerocoligenes	10.1016/s0040-4039(00)89280-1
NPA008170	3-Acetoxydustanin	C32H54O4	Fungus	Aschersonia	tubulata	10.1055/s-2001-11997
NPA008171	FR-111142	C22H34O7	Fungus	Scolecobasidium	arenarium F-2015	10.7164/antibiotics.45.348
NPA008172	Not named	C17H20N2O5	Fungus	Paecilomyces	marquandii	10.1021/np060315d
NPA008173	Nannozinone A	C15H16N2O	Bacterium	Nannocystis	pusilla strain MNa10913	10.1021/np500632c
NPA008174	Caloporoside	C36H60O15	Fungus	Caloporus	dichrous	10.7164/antibiotics.47.1188
NPA008175	YM-254892	C47H71N7O15S	Bacterium	Chromobacterium	sp. QS3666	10.1016/j.bmc.2004.04.006
NPA008176	Microviridin SD-1684	C76H104N18O26	Bacterium	Cyanobacterium	sp.	10.1016/j.tet.2006.05.028
NPA008177	Alpha-Gurjunene	C15H24	Bacterium	Streptomyces	sp. strain GWS-BW-H5	10.1002/cbdv.200590062
NPA008178	7-Desacetoxyhelvolic acid	C31H42O6	Fungus	Cephalosporium	caerulens	10.1248/cpb.14.436
NPA008179	Furanodiene	C15H18O	Fungus	Lactarius	chrysorrheus	10.1016/s0040-4020(01)90201-7
NPA008180	15G256δ	C33H46N4O10	Fungus	Hypoxylon	oceanicum LL-15	10.7164/antibiotics.51.303
NPA008181	(1Z,3S,5E,10S,11R)-2,6,10-trimethyl-1-(2-methylthiazol-4-yl)trideca-1,5-diene-3,11-diol	C20H33NO2S	Bacterium	Sorangium	cellulosum	10.1021/np000629f
NPA008182	3,4-dihydro-6-methoxy-8-hydroxy-3,4,5-trimethyl-isocoumarin-7-carboxylic acid methyl ester	C15H18O6	Fungus	Unknown-fungus	sp.	10.1007/s10600-007-0221-z
NPA008183	4-methylaminobenzoyl rhamnopyranoside	C14H19NO6	Bacterium	Streptomyces	sp. strain DL-93	10.1021/np3007606
NPA008185	N-(4-hydroxyphenethyl)-2-(1H-indol-3-yl)acetamide	C18H18N2O2	Bacterium	Pantoea	agglomerans P20-14	10.1007/s10600-013-0584-2
NPA008186	Thielavin H	C28H28O10	Fungus	Chaetomium	carinthiacum ATCC 46463	10.7164/antibiotics.55.941
NPA008187	Karnamicin D3	C17H23N3O5S	Bacterium	Saccharothrix	aerocolonigenes No. N806-4	10.7164/antibiotics.42.852
NPA008188	2-(Tetradecanoylamino)-3-methylbutyric acid 2-deoxy-2-(butyrylamino)-alpha-D-glucopyranosyl ester	C29H54N2O8	Bacterium	Serratia	sp.	10.1021/np7007126
NPA008189	Mycinamicin XVIII	C29H47NO8	Bacterium	Micromonospora	griseorubida FERM BP-705	10.7164/antibiotics.44.1270
NPA008190	Lobocyclamide A	C59H95N11O15	Bacterium	Lyngbya	confervoides	10.1021/jo0261909
NPA008191	Diazaquinomycin G	C21H24N2O4	Bacterium	Streptomyces	sp.	10.3390/md12063574
NPA008192	Waol C	C13H18O5	Fungus	Libertella	blepharis F2644	10.1016/j.tetlet.2014.11.081
NPA008193	Pradimicin A	C40H44N2O18	Bacterium	Actinomadura	hibisca	10.7164/antibiotics.43.755
NPA008194	3-epi-phomadecalin D	C15H20O4	Fungus	Microdiplodia	sp. TT-12	10.1016/j.phytol.2015.10.004
NPA008195	Flammulinolide B	C14H20O4	Fungus	Flammulina	velutipes	10.1016/j.tet.2012.02.021
NPA008196	Gombapyrone C	C25H28O3	Bacterium	Streptomyces	griseoruber Acta 3662	10.1038/ja.2009.70
NPA008197	22b-Acetoxy-3a,15a-trihydroxylanosta-7,9(11),24-trien-26-oic acid	C32H48O6	Fungus	Ganoderma	lucidum	10.1021/np50059a017
NPA008198	7-O- β-D-galactosyl-brefeldin A	C22H34O9	Fungus	Penicillium	brefeldianum	10.1021/np50106a020
NPA008199	Ammonificin D	C23H19Br2NO5	Bacterium	Thermovibrio	ammonificans	10.3390/md10102300
NPA008200	Ganorbiformin F	C33H50O6	Fungus	Ganoderma	orbiforme BCC 22324	10.1016/j.phytochem.2012.11.022
NPA008201	Naphthalecin	C15H14O5	Bacterium	Sporotalea	colonica sp. nov.	10.1038/ja.2008.30
NPA008202	4′′-deoxy-3-hydroxyterphenyllin	C20H18O5	Fungus	Aspergillus	sp. YXf3	10.1021/np200321s
NPA008203	ICM0301 A	C24H34O3	Fungus	Aspergillus	sp. F-1491	10.7164/antibiotics.57.97
NPA008204	Spiromastixone I	C19H16Cl4O5	Fungus	Spiromastix	sp.	10.1021/np5000457
NPA008205	Cephamycin C	C16H22N4O9S	Bacterium	Actinomyces	sp.	10.1128/aac.2.3.122
NPA008207	Dermacozine H	C16H13N3O4	Bacterium	Dermacoccus	abyssi	10.1021/np400952d
NPA008208	Kipukasin H	C18H20N2O9	Fungus	Aspergillus	versicolor	10.1080/14786419.2014.891114
NPA008209	Actinomycin Z3	C62H83ClN12O18	Bacterium	Streptomyces	fradiae	10.1021/np990416u
NPA008210	Omphalotin C	C76H125N13O19	Fungus	Omphalotus	olearius	10.1016/s0040-4020(98)00209-9
